Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,100u,C15008
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",0603,10,10u,C96446
"D1, D3, D5, D7",0805,4,YELLOW,C2296
"D10, D11, D9",SOD-323_L1.7-W1.3-LS2.6-RD-1,3,B0520WS,C7502696
"D2, D4, D6, D8",0805,4,RED,C84256
J6,USB-C-SMD_YPE-C-6PWTL-10-0108,1,USB_C_Receptacle_PowerOnly_6P,C30167331
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,disable onboard LDO,
"R1, R2",0603,2,5.1k,
"R10, R15, R20, R5",0603,4,75R,
"R11, R13, R16, R18, R21, R3, R6, R8",0603,8,510R,
"R12, R17, R22, R7",0603,4,51R,
"R14, R19, R4, R9",0603,4,120R,
"U2, U3, U4, U5",LGA-16_L5.2-W4.7-P0.65-TL_CA-IS2062A-FRANK2,4,CA-IS2092A,C18185406
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
